"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"COMPONENTE";"H15";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"CH03";"CH04";"CH05";"CH06";"CH07";"CH08";"CH09";"CH10";"CH11";"CH12";"CH13";"CH14";"CH15";"CH15_COD";"CH16";"CH16_COD";"NIVEL_ED";"ESTADO";"CAT_OCUP";"CAT_INAC";"IMPUTA";"PP02C1";"PP02C2";"PP02C3";"PP02C4";"PP02C5";"PP02C6";"PP02C7";"PP02C8";"PP02E";"PP02H";"PP02I";"PP03C";"PP03D";"PP3E_TOT";"PP3F_TOT";"PP03G";"PP03H";"PP03I";"PP03J";"INTENSI";"PP04A";"PP04B_COD";"PP04B1";"PP04B2";"PP04B3_MES";"PP04B3_ANO";"PP04B3_DIA";"PP04C";"PP04C99";"PP04D_COD";"PP04G";"PP05B2_MES";"PP05B2_ANO";"PP05B2_DIA";"PP05C_1";"PP05C_2";"PP05C_3";"PP05E";"PP05F";"PP05H";"PP06A";"PP06C";"PP06D";"PP06E";"PP06H";"PP07A";"PP07C";"PP07D";"PP07E";"PP07F1";"PP07F2";"PP07F3";"PP07F4";"PP07F5";"PP07G1";"PP07G2";"PP07G3";"PP07G4";"PP07G_59";"PP07H";"PP07I";"PP07J";"PP07K";"PP08D1";"PP08D4";"PP08F1";"PP08F2";"PP08J1";"PP08J2";"PP08J3";"PP09A";"PP09A_ESP";"PP09B";"PP09C";"PP09C_ESP";"PP10A";"PP10C";"PP10D";"PP10E";"PP11A";"PP11B_COD";"PP11B1";"PP11B2_MES";"PP11B2_ANO";"PP11B2_DIA";"PP11C";"PP11C99";"PP11D_COD";"PP11G_ANO";"PP11G_MES";"PP11G_DIA";"PP11L";"PP11L1";"PP11M";"PP11N";"PP11O";"PP11P";"PP11Q";"PP11R";"PP11S";"PP11T";"P21";"DECOCUR";"IDECOCUR";"RDECOCUR";"GDECOCUR";"PDECOCUR";"ADECOCUR";"PONDIIO";"TOT_P12";"P47T";"DECINDR";"IDECINDR";"RDECINDR";"GDECINDR";"PDECINDR";"ADECINDR";"PONDII";"V2_M";"V3_M";"V4_M";"V5_M";"V8_M";"V9_M";"V10_M";"V11_M";"V12_M";"V18_M";"V19_AM";"V21_M";"T_VI";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOPYQHMLKNCDEHJGH00699689";2021;2;1;1;1;40;"S";23;214;1;1;26/12/1962;58;5;4;1;2;0;6;1;"";3;"30";1;"";6;1;2;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;84;0;2;0;2;2;3;2;4807;2;0;0;0;0;1;0;"80113";1;0;0;0;3;2;3;1;7;6;2;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;50000;"7";"8";"9";"7";"";"9";216;0;50000;"8";"8";"9";"8";"";"9";215;0;0;0;0;0;0;0;0;0;0;0;0;0;54000;"5";"5";"6";"5";"";"5";27000;"6";"7";"8";"6";"";"8";218
"TQRMNOPYQHMLKNCDEHJGH00699689";2021;2;1;2;1;40;"S";23;214;3;1;02/06/1996;24;5;4;1;1;1;7;2;"00";1;"";1;"";5;2;3;0;;2;1;1;2;2;1;2;2;0;0;0;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";4;1;0;4;2;6000;2;0;0;0;7;0;"45332";0;4;0;0;1;2;2;8;0;0;0;0;2;0;"0";"0";"0";"";"";"0";214;4000;4000;"1";"1";"1";"1";"";"1";215;0;0;0;0;0;0;0;0;0;0;0;0;0;54000;"5";"5";"6";"5";"";"5";27000;"6";"7";"8";"6";"";"8";218
"TQRMNOPYSHMLKNCDEHJGH00699098";2021;2;1;1;1;40;"S";23;192;1;2;07/10/1969;51;2;12;1;2;0;6;1;"";1;"";1;"";6;1;4;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;28;0;2;0;2;2;2;2;1009;2;0;0;0;0;2;0;"80323";10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";192;0;0;"0";"0";"0";"";"";"0";192;0;0;0;0;0;0;0;0;0;0;0;0;0;184000;"10";"10";"10";"10";"";"10";46000;"9";"9";"10";"8";"";"9";196
"TQRMNOPYSHMLKNCDEHJGH00699098";2021;2;1;2;1;40;"S";23;192;3;1;03/09/1993;27;5;4;1;1;1;7;2;"99";1;"";1;"";5;1;2;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;59;0;2;0;2;1;3;2;1009;2;0;0;0;0;2;0;"80123";6;0;0;0;1;3;3;1;7;5;2;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;4000;"1";"1";"1";"1";"";"1";194;0;4000;"1";"1";"1";"1";"";"1";193;0;0;0;0;0;0;0;0;0;0;0;0;0;184000;"10";"10";"10";"10";"";"10";46000;"9";"9";"10";"8";"";"9";196
"TQRMNOPYSHMLKNCDEHJGH00699098";2021;2;1;3;1;40;"S";23;192;3;1;04/03/2003;18;5;12;1;1;1;4;2;"05";1;"";1;"";3;3;0;3;;0;0;0;0;0;0;0;0;0;2;1;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";192;0;0;"0";"0";"0";"";"";"0";192;0;0;0;0;0;0;0;0;0;0;0;0;0;184000;"10";"10";"10";"10";"";"10";46000;"9";"9";"10";"8";"";"9";196
"TQRMNOPYSHMLKNCDEHJGH00699098";2021;2;1;4;1;40;"S";23;192;2;1;20/12/1975;45;2;12;1;2;0;7;2;"02";3;"14";1;"";5;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;2;700;2;0;0;0;0;11;0;"92313";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;1;1;2;1;0;1;1;1;1;0;1;0;3;1;120000;0;0;0;0;60000;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;120000;"10";"10";"10";"10";"";"10";193;0;180000;"10";"10";"10";"10";"";"10";193;0;0;0;0;0;0;0;0;0;0;0;0;0;184000;"10";"10";"10";"10";"";"10";46000;"9";"9";"10";"8";"";"9";196
"TQRMNOSVQHMLKNCDEHJGH00698780";2021;2;1;1;1;40;"S";23;250;1;2;12/07/1992;28;5;4;1;2;0;4;1;"";1;"";1;"";4;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;35;0;2;0;2;2;2;2;4804;2;0;0;0;0;3;0;"30314";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;1;2;2;2;0;2;2;2;2;5;2;2;1;4;12000;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;12000;"2";"2";"3";"2";"";"3";251;0;19000;"3";"3";"4";"3";"";"4";251;0;0;0;7000;0;0;0;0;0;0;0;0;7000;31000;"2";"2";"3";"2";"";"3";10333,33;"2";"2";"3";"2";"";"3";255
"TQRMNOSVQHMLKNCDEHJGH00698780";2021;2;1;2;1;40;"S";23;250;8;1;04/10/1995;25;5;4;1;2;0;4;1;"";1;"";1;"";4;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;24;0;2;0;2;2;2;2;4000;2;0;0;0;0;4;0;"72314";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;2;2;2;2;5;2;2;2;2;5;2;2;1;4;12000;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;12000;"2";"2";"3";"2";"";"3";252;0;12000;"2";"2";"2";"2";"";"2";252;0;0;0;0;0;0;0;0;0;0;0;0;0;31000;"2";"2";"3";"2";"";"3";10333,33;"2";"2";"3";"2";"";"3";255
"TQRMNOSVQHMLKNCDEHJGH00698780";2021;2;1;3;0;40;"S";23;250;3;1;30/09/2015;5;5;3;2;1;1;1;2;"00";1;"";1;"";7;4;0;5;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";250;0;0;"0";"0";"0";"";"";"0";250;0;0;0;0;0;0;0;0;0;0;0;0;0;31000;"2";"2";"3";"2";"";"3";10333,33;"2";"2";"3";"2";"";"3";255
"TQRMNOSVTHMLKNCDEHJGH00702242";2021;2;1;1;1;40;"S";23;187;1;2;30/09/1955;65;4;1;1;2;0;2;1;"";2;"";1;"";2;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";187;0;20000;"3";"4";"5";"3";"";"4";188;20000;0;0;0;0;0;0;0;0;0;0;0;20000;20000;"1";"1";"1";"1";"";"2";20000;"5";"5";"6";"4";"";"6";188
