CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;COMPONENTE;H15;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH05;CH06;CH07;CH08;CH09;CH10;CH11;CH12;CH13;CH14;CH15;CH15_COD;CH16;CH16_COD;NIVEL_ED;ESTADO;CAT_OCUP;CAT_INAC;IMPUTA;PP02C1;PP02C2;PP02C3;PP02C4;PP02C5;PP02C6;PP02C7;PP02C8;PP02E;PP02H;PP02I;PP03C;PP03D;PP3E_TOT;PP3F_TOT;PP03G;PP03H;PP03I;PP03J;INTENSI;PP04A;PP04B_COD;PP04B1;PP04B2;PP04B3_MES;PP04B3_ANO;PP04B3_DIA;PP04C;PP04C99;PP04D_COD;PP04G;PP05B2_MES;PP05B2_ANO;PP05B2_DIA;PP05C_1;PP05C_2;PP05C_3;PP05E;PP05F;PP05H;PP06A;PP06C;PP06D;PP06E;PP06H;PP07A;PP07C;PP07D;PP07E;PP07F1;PP07F2;PP07F3;PP07F4;PP07F5;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;PP08D1;PP08D4;PP08F1;PP08F2;PP08J1;PP08J2;PP08J3;PP09A;PP09A_ESP;PP09B;PP09C;PP09C_ESP;PP10A;PP10C;PP10D;PP10E;PP11A;PP11B_COD;PP11B1;PP11B2_MES;PP11B2_ANO;PP11B2_DIA;PP11C;PP11C99;PP11D_COD;PP11G_ANO;PP11G_MES;PP11G_DIA;PP11L;PP11L1;PP11M;PP11N;PP11O;PP11P;PP11Q;PP11R;PP11S;PP11T;P21;DECOCUR;IDECOCUR;RDECOCUR;GDECOCUR;PDECOCUR;ADECOCUR;PONDIIO;TOT_P12;P47T;DECINDR;IDECINDR;RDECINDR;GDECINDR;PDECINDR;ADECINDR;PONDII;V2_M;V3_M;V4_M;V5_M;V8_M;V9_M;V10_M;V11_M;V12_M;V18_M;V19_AM;V21_M;T_VI;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH
"TQRMNOPPVHMOLOCDEGPDJ00648998";2020;3;1;3;1;40;"N";19;127;3;2;;30;5;1;1;2;0;4;1;;1;;1;;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;30;0;2;0;2;2;2;1;8401;2;0;0;0;0;11;0;"10313";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;2;2;2;5;1;1;1;1;0;1;0;1;1;25000;0;0;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;25000;"05";"06";"07";;;"07";127;0;25000;"05";"06";"06";;;"06";127;0;0;0;0;0;0;0;0;0;0;0;0;0;55400;"06";"06";"07";;;"07";18466,67;"05";"06";"07";;;"07";128
"TQRMNOPPWHMOLOCDEGPDJ00643343";2020;3;1;1;1;40;"N";19;162;1;2;;62;3;4;1;2;0;4;2;"02";2;;1;;3;3;0;1;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;"00";"00";"00";;;"00";162;0;15000;"03";"03";"03";;;"03";162;15000;0;0;0;0;0;0;0;0;0;0;0;15000;27500;"03";"03";"03";;;"03";9166,67;"03";"02";"03";;;"02";162
"TQRMNOPPWHMOLOCDEGPDJ00643343";2020;3;1;2;1;40;"N";19;162;3;2;05/04/1904;35;5;4;1;2;0;6;1;;1;;1;;6;3;0;4;0;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;"00";"00";"00";;;"00";162;0;12500;"02";"02";"03";;;"03";162;0;0;0;12500;0;0;0;0;0;0;0;0;12500;27500;"03";"03";"03";;;"03";9166,67;"03";"02";"03";;;"02";162
"TQRMNOPPWHMOLOCDEGPDJ00643343";2020;3;1;4;1;40;"N";19;162;5;1;;10;5;4;1;1;1;2;2;"04";1;;1;;1;3;0;3;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;"00";"00";"00";;;"00";162;0;0;"00";"00";"00";;;"00";162;0;0;0;0;0;0;0;0;0;0;0;0;0;27500;"03";"03";"03";;;"03";9166,67;"03";"02";"03";;;"02";162
"TQRMNOQQXHMOLOCDEGPDJ00643326";2020;3;1;1;1;40;"N";19;134;1;1;;41;1;1;1;2;0;6;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;1;3;1;1;2;2;4000;2;0;0;0;0;2;0;"72312";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;9;4;2;2;2;2;5;2;1;2;1;0;1;0;1;1;28000;0;0;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;28000;"06";"06";"07";;;"07";134;0;28000;"06";"06";"07";;;"07";134;0;0;0;0;0;0;0;0;0;0;0;0;0;28000;"03";"03";"03";;;"03";7000;"02";"02";"02";;;"01";134
"TQRMNOQQXHMOLOCDEGPDJ00643326";2020;3;1;2;1;40;"N";19;134;2;2;;44;1;1;1;2;0;4;1;;2;;1;;4;3;0;4;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;"00";"00";"00";;;"00";134;0;0;"00";"00";"00";;;"00";134;0;0;0;0;0;0;0;0;0;0;0;0;0;28000;"03";"03";"03";;;"03";7000;"02";"02";"02";;;"01";134
"TQRMNOQQXHMOLOCDEGPDJ00643326";2020;3;1;3;1;40;"N";19;134;3;1;;10;5;1;1;1;1;2;2;"05";1;;1;;1;3;0;3;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;"00";"00";"00";;;"00";134;0;0;"00";"00";"00";;;"00";134;0;0;0;0;0;0;0;0;0;0;0;0;0;28000;"03";"03";"03";;;"03";7000;"02";"02";"02";;;"01";134
"TQRMNOQQXHMOLOCDEGPDJ00643326";2020;3;1;4;1;40;"N";19;134;3;2;;14;5;1;1;1;1;4;2;"00";1;;1;;3;3;0;3;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;"00";"00";"00";;;"00";134;0;0;"00";"00";"00";;;"00";134;0;0;0;0;0;0;0;0;0;0;0;0;0;28000;"03";"03";"03";;;"03";7000;"02";"02";"02";;;"01";134
"TQRMNOPSTHJLLNCDEGPDJ00658279";2020;3;1;1;1;40;"N";19;233;1;2;12/06/2204;31;1;4;1;1;2;6;2;"03";1;;1;;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;42;0;2;0;2;1;2;2;5601;2;0;0;0;0;4;0;"05002";1;0;0;0;1;1;1;0;7;5;1;0;20000;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000;"04";"05";"06";;;"06";233;0;34000;"07";"07";"08";;;"08";232;0;0;0;14000;0;0;0;0;0;0;0;0;14000;54000;"06";"06";"06";;;"07";10800;"03";"03";"04";;;"03";232
"TQRMNOPSTHJLLNCDEGPDJ00658279";2020;3;1;2;1;40;"N";19;233;2;1;;33;1;4;1;2;0;4;1;;1;;1;;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;42;0;2;0;2;2;2;2;5601;2;0;0;0;0;4;0;"05002";4;0;0;0;1;1;1;0;7;5;1;0;20000;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000;"04";"05";"06";;;"06";233;0;20000;"04";"05";"05";;;"05";232;0;0;0;0;0;0;0;0;0;0;0;0;0;54000;"06";"06";"06";;;"07";10800;"03";"03";"04";;;"03";232
